"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"1534","I. Tarigan","Esia","DF","Red Artichokes",22,"C","2021",14.2390666666667
"1023","W. Addai","Rarita","DF","Mad Cardinals",31,"RFL","2020",14.2392
"473","A. Nantege","Lefghau","DF","Silver Frogs",24,"C","2020",14.2429
"1307","V. Ezra","Coastpa Barleslands","DF","Serious Thunderbirds",22,"B","2021",14.2446666666667
"820","J. Ko","Southern Viout Aman","DF","Flying Penguins",27,"E","2020",14.2512666666667
"1619","J. Okullo","Esia","DF","Weak Chargers",23,"C","2021",14.2542333333333
"249","A. Nakiranda","Dosqaly","DF","Serious Thunderbirds",18,"B","2020",14.2574
"1415","V. Koller","Coastpa Barleslands","DF","Weak Blimps",24,"B","2021",14.2574
"832","P. Halvorsen","Nganion","DF","Horrible Bison",18,"E","2020",14.2718666666667
"1322","E. Ilukol","Dosqaly","DF","Simple Jayhawks",24,"B","2021",14.2759333333333
"1168","Q. Majawa","People's Land of Maneau","DF","Silver Heels",29,"A","2021",14.2790666666667
"1388","D. Vuji?","Pierrema","DF","Unaccountable Foxes",30,"B","2021",14.2792666666667
"1271","L. Wenene","Southern Ristan","DF","Jumping Beans",25,"B","2021",14.2808666666667
"381","P. Ssempijja","Esia","DFMF","Awkward Trailblazers",30,"C","2020",14.2828666666667
"869","S. Nansamba","Imaar Vircoand","DF","Orange Giants",27,"E","2020",14.2837
"432","X. Mkandawire","Esia","DF","Marvelous Anchors",19,"C","2020",14.2857
"1810","L. Sayed","Ledian","DF","Serious Ranchers",24,"D","2021",14.2882
"858","M. Mulondo","Nancipenuaroe","DF","Mighty Jimmies",25,"E","2020",14.2906666666667
"143","S. Hamza","People's Land of Maneau","DF","Stacked Rocks",29,"A","2020",14.3001
"156","Y. Musah","People's Land of Maneau","DF","Sugar Storm",25,"A","2020",14.3091
"2052","T. Faure","Nganion","DF","Sassy Knights",27,"E","2021",14.3139333333333
"1278","V. Chauke","Dosqaly","DF","Mean Colts",27,"B","2021",14.315
"2171","E. Meiyr","Rarita","DF","Wild Hornets",26,"RFL","2021",14.3165333333333
"920","Q. Alonso","Nganion","DF","Sassy Knights",24,"E","2020",14.3184666666667
"1363","G. Asiedu","Dosqaly","DF","Supreme Janes",32,"B","2021",14.3238666666667
"305","Y. D?browski","Rarita","DFMF","Supreme Janes",29,"B","2020",14.3345333333333
"680","O. Mudzingwa","Sobianitedrucy","DF","Red Rangers",19,"D","2020",14.3355
"846","H. Chakraborty","South Sati Fatina","DF","Mad Bees",30,"E","2020",14.3501
"1293","C. Namanda","Puway","DF","Mean Poets",36,"B","2021",14.3515
"717","K. Supriadi","Pahon","DF","Serious Ranchers",26,"D","2020",14.3534
"937","G. Riva","Nganion","DF","Serious Magicians",24,"E","2020",14.3543333333333
"1288","L. Masson","Dosqaly","DF","Mean Poets",26,"B","2021",14.3584666666667
"1285","F. Sepp","Dosqaly","DF","Mean Poets",22,"B","2021",14.3638666666667
"440","K. Takada","Esia","DF","Mean Trolls",25,"C","2020",14.364
"2054","F. Lukyamuzi","Nganion","MFDF","Sassy Knights",32,"E","2021",14.3667
"1166","B. Wright","People's Land of Maneau","DF","Silver Heels",30,"A","2021",14.3706333333333
"303","J. Ferri","Reugha","DF","Supreme Janes",27,"B","2020",14.3725333333333
"135","K. Najjuma","Ngoque Blicri","DFMF","Somber Bombers",29,"A","2020",14.3817
"1671","E. Manhica","Moaithe","DF","Coy Sunbirds",28,"D","2021",14.3837666666667
"384","R. Dahl","Byasier Pujan","DF","Blue Jaguars",17,"C","2020",14.3981666666667
"1430","J. Wojciechowski","Dosqaly","DF","Wet Monarchs",22,"B","2021",14.3989
"791","D. Ngo","Nganion","DF","Delta Colts",30,"E","2020",14.4047
"522","J. Namale","Rosvi","DFMF","Ultimate Longhorns",26,"C","2020",14.4053
"1313","Q. Ueda","Dosqaly","DF","Serious Thunderbirds",18,"B","2021",14.4103333333333
"170","A. Avako","People's Land of Maneau","MFDF","Swift Musketeers",24,"A","2020",14.4121
"221","B. Demir","Janmico","DF","Hideous Pioneers",21,"B","2020",14.4302333333333
"4","I. Huber","Lenia Gerdanho","DF","Fanatical Outlaws",25,"A","2020",14.4354333333333
"67","Q. Aini","Ngoque Blicri","DF","Mighty Jays",22,"A","2020",14.4363666666667
"1003","D. Piras","Rarita","DFMF","Golden Cadets",27,"RFL","2020",14.4428666666667
"1923","K. Moshe","Nancipenuaroe","DF","Flying Penguins",18,"E","2021",14.4464
"2101","Q. bin Ismail","Rarita","DF","Black Coyotes",24,"RFL","2021",14.4496
"1883","H. Jansson","Greri Landmoslands","DF","Deferred Dolphins",25,"E","2021",14.4499
"1522","I. Achom","Esia","MFDF","Mean Trolls",18,"C","2021",14.4508666666667
"1368","J. Ferri","Reugha","DF","Supreme Janes",28,"B","2021",14.4515333333333
"104","B. Masika","People's Land of Maneau","DF","Silver Heels",29,"A","2020",14.4588
"1337","P. Xu","Dosqaly","DFMF","Simple Privateers",18,"B","2021",14.4617333333333
"31","G. Nimusiima","Central Diasongo","DF","Green Fleet",25,"A","2020",14.4687666666667
"1998","H. Nakafeero","Nganion","DFMF","Plane Janes",29,"E","2021",14.4712
"80","F. Arslan","People's Land of Maneau","DF","Odd Ducks",28,"A","2020",14.4713
"269","D. Jansson","Biarizea","DF","Simple Privateers",21,"B","2020",14.4751666666667
"1057","W. Guo","Rarita","DF","Wild Hornets",29,"RFL","2020",14.4752333333333
"307","H. Romero","Coastpa Barleslands","DF","Swift Rustlers",22,"B","2020",14.4833333333333
"2033","C. De Vries","Nganion","MFDF","Rabid Greyhounds",30,"E","2021",14.4854
"1458","A. Grgi?","Unicorporated Tiagascar","DF","Blue Jaguars",30,"C","2021",14.4916333333333
"1614","H. Marroquín","Giumle Lizeibon","MFDF","Ultimate Longhorns",31,"C","2021",14.4992
"558","E. Ow","Sobianitedrucy","DF","Deranged Defenders",25,"D","2020",14.5041
"1978","S. Nansamba","Imaar Vircoand","DF","Orange Giants",28,"E","2021",14.5073333333333
"646","D. Shuaibu","Nkasland Cronestan","DF","Mighty Monkeys",27,"D","2020",14.5079
"1409","S. Parisi","Dosqaly","DF","Villainous Eagles",32,"B","2021",14.5083333333333
"295","L. Hasegawa","Dosqaly","DF","Supreme Janes",27,"B","2020",14.5119333333333
"957","N. More","Janmico","DF","Swift Marauders",28,"E","2020",14.5182
"1078","D. Kikuchi","Nkasland Cronestan","DFMF","Fighting Cougars",21,"A","2021",14.5265
"237","R. Arineitwe","Sobianitedrucy","DF","Lady Ocelots",23,"B","2020",14.5299
"42","Q. Scott","Byasier Pujan","FWDF","Green Fleet",19,"A","2020",14.5299
"763","B. Maruyama","Sobianitedrucy","DFMF","Sugar Bengals",26,"D","2020",14.5333666666667
"1318","D. Kyambadde","Iverde","DF","Serious Thunderbirds",18,"B","2021",14.5352333333333
"730","A. Kimura","Sobianitedrucy","DF","Spicy Pointers",32,"D","2020",14.5428
"1460","B. Jalali","Rosvi","DFMF","Blue Jaguars",25,"C","2021",14.5574333333333
"220","H. Pärn","Iverde","DF","Hideous Pioneers",25,"B","2020",14.5590666666667
"839","D. Kalni?š","Nganion","DF","Mad Bees",30,"E","2020",14.5747333333333
"2027","S. Sala","Nganion","DF","Rabid Greyhounds",26,"E","2021",14.5762
"129","S. Hamza","People's Land of Maneau","DF","Somber Bombers",29,"A","2020",14.5789333333333
"723","H. Hansen","Unicorporated Tiagascar","DF","Serious Ranchers",33,"D","2020",14.5882333333333
"76","C. Hasanovi?","People's Land of Maneau","DF","Odd Ducks",23,"A","2020",14.5882333333333
"1654","N. Almeida","Imaar Vircoand","FWDF","Wicked Gentlefolk",22,"C","2021",14.5940333333333
"146","C. Bai","Western Niasland","DF","Stacked Rocks",23,"A","2020",14.5957666666667
"338","M. Mizrahi","Rosvi","DFMF","Unethical Comets",23,"B","2020",14.6007333333333
"813","J. Zacarias","Janmico","DF","Flying Penguins",24,"E","2020",14.6027
"1085","F. Lieu","People's Land of Maneau","DF","Great Galactic Gorgons",18,"A","2021",14.608
"231","J. Arach","Dosqaly","DF","Lady Ocelots",25,"B","2020",14.6153333333333
"1904","P. Hassan","Northslands","DF","Delta Colts",24,"E","2021",14.6157666666667
"771","G. Neumbe","Sobianitedrucy","DF","Wet Flames",31,"D","2020",14.6158666666667
"81","N. Medina","People's Land of Maneau","DF","Odd Ducks",23,"A","2020",14.6197333333333
"75","V. Nalukwago","Nganion","DF","Odd Ducks",26,"A","2020",14.6211333333333
"1938","G. Kalyango","Nganion","DF","Hideous Spiders",23,"E","2021",14.6217
"95","B. Hungwe","People's Land of Maneau","DF","Punctual Rustlers",34,"A","2020",14.6217
"816","K. Awuah","Nganion","DF","Flying Penguins",29,"E","2020",14.6233666666667
"456","C. Van den Berg *","Redohrainbri","DFFW","Punctual Archers",21,"C","2020",14.6248333333333
"1392","I. Nanangwe","Dosqaly","DFMF","Unaccountable Foxes",17,"B","2021",14.6267666666667
"1464","D. Hsu","Esia","MFDF","Blue Jaguars",30,"C","2021",14.6325666666667
"1118","B. Longoli","Djipines","DF","Horrible Storm",31,"A","2021",14.6326
"557","E. Nilsson","Sobianitedrucy","DF","Deranged Defenders",23,"D","2020",14.6367333333333
"278","F. Hubert","Dosqaly","DF","Solemn Leopards",25,"B","2020",14.6411333333333
"789","K. Ferrari","Nancipenuaroe","DF","Delta Colts",20,"E","2020",14.6477
"1021","N. binti Sulaiman","Rarita","DF","Mad Cardinals",19,"RFL","2020",14.6554666666667
"857","A. Ndawula","Ledian","DF","Mighty Jimmies",23,"E","2020",14.6599333333333
"2060","S. Kule","Nganion","DF","Screaming Ramblers",24,"E","2021",14.6687
"824","I. Basemera","Nganion","MFDF","Flying Penguins",21,"E","2020",14.6692333333333
"1062","Z. Iqbal","Galamily","DF","Fanatical Outlaws",27,"A","2021",14.6735333333333
"2167","Y. Mugerwa","Rarita","DF","Strong Oaks",25,"RFL","2021",14.6751666666667
"404","L. Arai","Nganion","DF","Fiery Governors",22,"C","2020",14.6768666666667
"1188","M. Nabukwasi","Quewenia","DF","Somber Bombers",28,"A","2021",14.6890333333333
"749","I. Goh","Sobianitedrucy","FWDF","Strange Pioneers",20,"D","2020",14.6921333333333
"1976","F. Taruvinga","Greri Landmoslands","DF","Orange Giants",28,"E","2021",14.6961
"609","N. Alum","Imaar Vircoand","DF","Marvelous Heels",29,"D","2020",14.6964333333333
"814","N. More","Janmico","DF","Flying Penguins",28,"E","2020",14.6971
"629","T. Moretti","Sobianitedrucy","DF","Marvelous Patriots",20,"D","2020",14.7002666666667
"965","Q. Tng","Western Niasland","DF","Swift Marauders",30,"E","2020",14.7023333333333
"612","V. It?","Mico","DF","Marvelous Heels",30,"D","2020",14.7053333333333
"1086","H. Akugizibwe","People's Land of Maneau","DF","Great Galactic Gorgons",26,"A","2021",14.7105
"1871","Y. Machava","Imaar Vircoand","DF","Big Foxes",29,"E","2021",14.7213333333333
"1649","G. Oduro","Esia","DFFW","Wicked Gentlefolk",25,"C","2021",14.7221666666667
"367","L. Akech","Dosqaly","DF","Wet Monarchs",22,"B","2020",14.7281666666667
"82","O. Estrada","People's Land of Maneau","DF","Odd Ducks",28,"A","2020",14.7354
"799","J. bin Hashim","Nganion","MFDF","Delta Colts",22,"E","2020",14.7364666666667
"2057","K. Asadi","Lefghau","DF","Screaming Ramblers",26,"E","2021",14.7372666666667
"1507","M. Odong","Esia","DF","Marvelous Anchors",23,"C","2021",14.7424333333333
"1290","Q. Nakintu","Dosqaly","DF","Mean Poets",30,"B","2021",14.7468666666667
"642","V. Morel","Imaar Vircoand","FWDF","Mean Wolves",23,"D","2020",14.7506666666667
"265","L. Masaba","Nancipenuaroe","DF","Simple Jayhawks",32,"B","2020",14.7513333333333
"149","X. Agbaria","People's Land of Maneau","MFDF","Stacked Rocks",18,"A","2020",14.753
"736","V. Macuacua","Western Niasland","DF","Spicy Pointers",32,"D","2020",14.7581666666667
"933","T. Haim","Nganion","DF","Screaming Ramblers",29,"E","2020",14.7589333333333
"1049","V. Morel","Imaar Vircoand","FWDF","Walking Runners",23,"RFL","2020",14.7595
"728","F. Tumuheirwe","Manlisgamncent","DF","Spicy Pointers",26,"D","2020",14.7605
"2179","C. Mitrovi?","Southern Ristan","MFDF","Wild Hornets",25,"RFL","2021",14.7609666666667
"1195","O. Mägi","Central Diasongo","DF","Stacked Rocks",27,"A","2021",14.7706
"1833","W. Nakato","Sobianitedrucy","DFMF","Spicy Pointers",23,"D","2021",14.7727666666667
"58","Y. Aidoo","People's Land of Maneau","DF","Horrible Storm",24,"A","2020",14.7819666666667
"1719","R. Arineitwe","Sobianitedrucy","DF","Flying Bombadiers",24,"D","2021",14.7901666666667
"1284","Q. Turinawe","Rosvi","DF","Mean Colts",26,"B","2021",14.7951
"640","J. Otoo","Sobianitedrucy","DF","Mean Wolves",21,"D","2020",14.7981
"1364","L. Hasegawa","Dosqaly","DF","Supreme Janes",28,"B","2021",14.8021333333333
"770","H. Byamugisha","Republic of Denand Landsa","DF","Wet Flames",22,"D","2020",14.8045
"868","I. Beh","Greri Landmoslands","DF","Orange Giants",24,"E","2020",14.8052666666667
"738","Q. Abo","Imaar Vircoand","DF","Strange Pioneers",28,"D","2020",14.8093
"1540","U. Kajumba","Esia","MFDF","Red Artichokes",19,"C","2021",14.8118
"643","L. Mumbere","Nkasland Cronestan","FWDF","Mean Wolves",28,"D","2020",14.8119666666667
"205","S. Namanya","Central Diasongo","DF","Grotesque Rocks",30,"B","2020",14.8122
"935","D. Mugisa","Xikong","FWDF","Screaming Ramblers",27,"E","2020",14.8188
"1730","R. Arineitwe","Sobianitedrucy","DF","Hideous Spartans",24,"D","2021",14.8224333333333
"342","Y. Bano","Central Diasongo","DF","Villainous Eagles",29,"B","2020",14.8272333333333
"229","N. Nakacwa","Central Diasongo","DFFW","Jumping Beans",24,"B","2020",14.8324333333333
"2172","F. Mahachi","Rarita","DF","Wild Hornets",21,"RFL","2021",14.8368
"2089","G. Mishra","Nganion","DF","Ultimate Penguins",29,"E","2021",14.8394666666667
"1042","J. Nakigudde","Highhlaands","DF","Walking Runners",30,"RFL","2020",14.8461
"878","G. Katumba","Biarizea","DF","Plane Janes",25,"E","2020",14.8467333333333
"1979","A. Hudák","Nganion","DF","Orange Giants",29,"E","2021",14.8473
"2046","G. Varma","Nganion","DF","Sassy Knights",26,"E","2021",14.8516
"784","L. Ricci","Nganion","DF","Deferred Dolphins",32,"E","2020",14.8527
"1014","Y. Lakatos","Rarita","DF","Great Pandas",25,"RFL","2020",14.8574
"327","J. Rinaldi","Central Diasongo","FWDF","Unaccountable Foxes",22,"B","2020",14.8591333333333
"1027","K. Castillo","Rarita","MFDF","Mad Cardinals",23,"RFL","2020",14.8608666666667
"991","S. Hashemi","Rarita","DF","Educated Avengers",29,"RFL","2020",14.8646333333333
"2031","Q. Vuji?","Reugha","DFFW","Rabid Greyhounds",25,"E","2021",14.8676333333333
"916","L. Kimuli","Nathuacamana","DF","Sassy Knights",21,"E","2020",14.868
"1190","F. Kollár","Southslands","DF","Somber Bombers",30,"A","2021",14.8713333333333
"349","Y. Kat?","Dosqaly","MFDF","Villainous Eagles",32,"B","2020",14.8717333333333
"1211","Q. Tiko","People's Land of Maneau","DF","Swift Musketeers",20,"A","2021",14.8784333333333
"1226","F. Namajja","Central Badad","FWDF","Weak Tornadoes",25,"A","2021",14.8785333333333
"2005","Q. Roy","Nganion","DF","Polar Kangaroos",20,"E","2021",14.8868666666667
"501","K. Ntege","Slandsganiamayotteque","MFDF","Supreme Jaguars",20,"C","2020",14.8878333333333
"599","F. Odaga","Sobianitedrucy","DF","Hideous Spartans",20,"D","2020",14.8878333333333
"72","G. Dijkstra","People's Land of Maneau","DFFW","Mighty Jays",17,"A","2020",14.8940333333333
"1442","S. Chemutai","Rosvi","DF","Awkward Trailblazers",24,"C","2021",14.9005333333333
"1961","X. Nambooze","Nganion","DFMF","Mad Bees",26,"E","2021",14.9043666666667
"454","K. Kafuko","Rarita","DF","Punctual Archers",32,"C","2020",14.9103333333333
"870","A. Hudák","Nganion","DF","Orange Giants",28,"E","2020",14.9163333333333
"1673","H. Young","Sobianitedrucy","DF","Coy Sunbirds",23,"D","2021",14.9187
"1045","S. Anyait","People's Land of Maneau","DF","Walking Runners",29,"RFL","2020",14.9206666666667
"1276","M. Guma","Dosqaly","DF","Mean Colts",19,"B","2021",14.9218666666667
"1875","H. Pour","Nganion","DF","Big Foxes",22,"E","2021",14.9253666666667
"703","P. Ssemanda","Sobianitedrucy","DF","Rowdy Clippers",26,"D","2020",14.9299333333333
"369","Q. Becker","Dosqaly","DF","Wet Monarchs",24,"B","2020",14.9376666666667
"972","H. Nieminen","Lefghau","DF","Ultimate Penguins",20,"E","2020",14.9380333333333
"2061","T. Haim","Nganion","DF","Screaming Ramblers",30,"E","2021",14.941
"930","G. Magaya","Nganion","DF","Screaming Ramblers",23,"E","2020",14.9411
"165","D. Shahar","Nkasland Cronestan","DF","Swift Musketeers",23,"A","2020",14.9420666666667
"438","Q. Tushabe","Byasier Pujan","DF","Mean Trolls",28,"C","2020",14.9422666666667
"236","B. Kaweesa","Reugha","DF","Lady Ocelots",29,"B","2020",14.9489666666667
"783","K. Ochen","Nganion","DF","Deferred Dolphins",28,"E","2020",14.9505666666667
"202","F. Ahebwa","Sobianitedrucy","DF","Golden Rustlers",19,"B","2020",14.9512666666667
"863","O. Heng","Nganion","DF","Mighty Jimmies",15,"E","2020",14.9527666666667
"819","O. Balog","Rarita","DF","Flying Penguins",27,"E","2020",14.9531333333333
"1449","R. Yeko","Esia","DF","Blue Jaguars",18,"C","2021",14.9546666666667
"1936","L. Sayed","Ledian","DF","Hideous Spiders",24,"E","2021",14.9595666666667
"1407","G. Baig","Dosqaly","DF","Villainous Eagles",21,"B","2021",14.9598
"11","R. Petrenko","Lefghau","DF","Fighting Cougars",24,"A","2020",14.9673333333333
"266","T. Dadzie","South Bartzercuaof","DF","Simple Jayhawks",30,"B","2020",14.9695333333333
"969","I. Moreau","Nganion","MFDF","Swift Marauders",31,"E","2020",14.9720333333333
"1075","U. Ortíz","People's Land of Maneau","DF","Fighting Cougars",19,"A","2021",14.9787
"671","F. Segel","Sobianitedrucy","MFDF","Punctual Fire",28,"D","2020",14.9862666666667
"517","S. Nadunga","Iverde","DF","Ultimate Longhorns",27,"C","2020",14.9896666666667
"362","B. Nyamadzawo","Dosqaly","FWDF","Weak Blimps",22,"B","2020",14.9997666666667
"1065","S. Anyait","People's Land of Maneau","DF","Fanatical Outlaws",30,"A","2021",15.0005666666667
"94","N. Kamusiime","Dosqaly","DF","Punctual Rustlers",26,"A","2020",15.0011333333333
"1167","K. Machava","People's Land of Maneau","DF","Silver Heels",31,"A","2021",15.0071
"130","X. Heikkilä","People's Land of Maneau","DF","Somber Bombers",25,"A","2020",15.0078333333333
"365","F. Aminu","Dosqaly","DF","Wet Monarchs",30,"B","2020",15.0107
"1308","Z. Patel","Coastpa Barleslands","DF","Serious Thunderbirds",24,"B","2021",15.0148333333333
"32","C. Ahmad","Imaar Vircoand","DF","Green Fleet",29,"A","2020",15.0277
"793","O. Mohammad","Nganion","DF","Delta Colts",22,"E","2020",15.0293
"936","C. Machingura","Nganion","DF","Serious Magicians",27,"E","2020",15.0407
"2141","V. Sultan","Rarita","DFMF","Red Anchormen",20,"RFL","2021",15.0413666666667
"767","V. Kaneko","Central Namemo Laand","DF","Wet Flames",29,"D","2020",15.0427333333333
"481","D. Steiner","Esia","DF","Spicy Gophers",24,"C","2020",15.0543333333333
"437","K. Opiyo","Esia","MFDF","Marvelous Anchors",32,"C","2020",15.0561
"836","A. Lalam","Greri Landmoslands","DF","Mad Bees",25,"E","2020",15.0572333333333
"1192","K. Najjuma","Ngoque Blicri","DFMF","Somber Bombers",30,"A","2021",15.0584333333333
"610","F. He","Lefghau","DF","Marvelous Heels",22,"D","2020",15.0600666666667
"1537","L. Namande","Quewenia","DF","Red Artichokes",26,"C","2021",15.0600666666667
"1176","F. Omara","People's Land of Maneau","DF","Solemn Cougars",19,"A","2021",15.0652
"1255","K. Kyosiimire","Southern Viout Aman","DF","Golden Rustlers",21,"B","2021",15.0675333333333
"339","J. Mutyaba","Dosqaly","MFDF","Unethical Comets",29,"B","2020",15.0810333333333
"1903","O. Mohammad","Nganion","DF","Delta Colts",23,"E","2021",15.0848666666667
"1635","K. Amoit","Esia","DFFW","White Firebirds",18,"C","2021",15.0905
"1669","P. Narvaez","Imaar Vircoand","DF","Coy Sunbirds",21,"D","2021",15.0911666666667
"931","O. Gatti","Nganion","DF","Screaming Ramblers",22,"E","2020",15.0939666666667
